rank,priority,status,provider,signup_url,docs_url,provider_type,auth_required,current_free_offering,free_limit_summary,free_limit_confidence,coding_model_candidates,api_style,openai_compatible,base_url,omniroute_support_status,omniroute_provider_id,setup_time_minutes_est,setup_difficulty,signup_friction,region_friction,requires_phone,requires_credit_card,expected_6mo_value_eur,setup_value_eur_per_hour,coding_value_reason,risks_or_caveats,next_action,last_researched,source_urls
1,P0,already_working,OpenCode Free,local,local,no_auth,no,working,see_docs,medium,omniroute/auto/coding:free,openai_compatible,yes,http://127.0.0.1:20128/v1,built_in_working,opencode,5,low,low,none,no,no,200,2400.0,Zero new signup and already provides a fast free coding lane for agent,Single backend so far; catalog can overstate availability; needs perio,Keep enabled; add to Control Room/OpenCode allowlist; retest daily wit,2026-07-05,local
2,P0,already_working,Groq,https://console.groq.com/,https://console.groq.com/docs/models,free_tier,api_key,working,see_docs,high,omniroute/groq/llama-3.3-70b-versatile,openai_compatible,yes,https://api.groq.com/openai/v1,connected_needs_periodic_smoke,groq,5,low,low,none,unknown,no,140,1680.0,Very high speed and useful free daily quotas make it strong for codin,Free limits vary by organization and can change; not all models are bes,Run smoke tests for gpt-oss-20b; qwen3-32b; llama-3.3-70b; ke,2026-07-05,https://console.groq.com/docs/models
3,P0,already_working,OpenRouter,https://openrouter.ai/,https://openrouter.ai/docs/quickstart,aggregator,api_key,working,see_docs,medium,omniroute/openrouter/free,openai_compatible,yes,https://openrouter.ai/api/v1,connected_needs_periodic_smoke,openrouter,5,low,low,none,unknown,no,110,1320.0,Best single signup for broad free-model discovery; useful when one free,Free router may change backend behavior; model quality and rate limits c,Smoke test openrouter/free; later add specific free model IDs only if,2026-07-05,https://openrouter.ai/openrouter/free
4,P0,needs_verification,MiMoCode Free,https://mimo.mi.com/,local,no_auth,no,free_tier_listed_needs_check,unknown,unknown,omniroute/mcode/mimo-auto,custom,partial,http://127.0.0.1:20128/v1,built_in_needs_exact_model_smoke,mimocode,6,low,low,possible,unknown,no,110,1100.0,If stable, gives a second no-signup free coding route beside OpenCode.,Conflicting UI/test signals; must verify exact /v1/chat/complet,Run three exact smoke tests for mcode/mimo-auto and only then allowlist.,2026-07-05,https://mimo.mi.com/
5,P1,candidate,Cerebras Inference,https://cloud.cerebras.ai/,https://inference-docs.cerebras.ai/models/overview,free_tier,api_key,free_tier_listed_needs_check,see_docs,high,gpt-oss-120b,openai_compatible,yes,https://api.cerebras.ai/v1,provider_present_signup_needed,cerebras,10,low,low,none,unknown,no,120,720.0,Fast inference and large open models are valuable for agent planning, ref,Exact free limits may depend on account; model list changes.,Create key; add OmniRoute connection; import free models; smoke test g,2026-07-05,https://inference-docs.cerebras.ai/models/overview
6,P1,needs_verification,Google AI Studio / Gemini API,https://aistudio.google.com/,https://ai.google.dev/gemini-api/docs,free_tier,api_key,free_tier_listed_needs_check,see_docs,medium,imported Gemini Flash/Flash-Lite/Pro candidates,native_sdk,partial,unknown,connected_needs_model_import_and_smoke,gemini,10,low,low,possible,unknown,no,100,600.0,Useful for general code explanation, debugging, and longish reasoning when,Model names/quotas change frequently; region support can vary; OmniRoute,Import free models from /models; then smoke test smallest Flash/Flash-L,2026-07-05,https://aistudio.google.com/
7,P1,candidate,DeepSeek,https://platform.deepseek.com/,https://api-docs.deepseek.com/,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,deepseek,20,medium,medium,unknown,unknown,unknown,90,270.0,DeepSeek models are directly relevant to coding/reasoning if signup and,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify current free quota; add only if no credit-card requirement; smoke,2026-07-05,https://platform.deepseek.com/
8,P1,candidate,GitHub Models,https://github.com/marketplace/models,https://docs.github.com/en/github-models/use-github-models/prototyping-with-ai-models,free_tier,api_key,free_tier_listed_needs_check,see_docs,high,gpt-5-mini,native_sdk,partial,https://models.github.ai/inference,provider_present_signup_needed,github-models,12,low,low,none,no,no,90,450.0,Convenient because the user already uses GitHub; useful for repo-adjacent,Public preview; rate limits are low for some models; may need PAT with models,Create/use PAT with models:read; add to OmniRoute if provider card,2026-07-05,https://github.com/marketplace/models
9,P1,candidate,Cloudflare Workers AI,https://dash.cloudflare.com/,https://developers.cloudflare.com/workers-ai/,free_tier,api_key,free_tier_listed_needs_check,see_docs,high,@cf/qwen/qwen2.5-coder-32b-instruct,unknown,unknown,unknown,free_tier_visible_needs_research,cloudflare-ai,15,medium,medium,unknown,unknown,unknown,80,320.0,Good backup free quota and coder-tagged models; useful for small coding,Could be paid-only after signup, region-locked, non-coding, or unstable,Create API token with Workers AI permissions; add account ID/key to OmniRoute,2026-07-05,https://dash.cloudflare.com/
10,P2,candidate,NVIDIA NIM,https://build.nvidia.com/explore/discover,https://docs.api.nvidia.com/,free_tier,api_key,free_tier_listed_needs_check,see_docs,medium,deepseek-ai/deepseek-v3.2,openai_compatible,yes,https://integrate.api.nvidia.com/v1,provider_present_signup_needed,nvidia,18,medium,medium,possible,unknown,unknown,75,250.0,Strong catalog for agentic/coding experimentation and OpenAI-compatible endpoint.,May have region/account restrictions; exact limits unclear; not as quick as Groq,Create NVIDIA developer key; add to OmniRoute if supported; smoke test one,2026-07-05,https://build.nvidia.com/explore/discover
11,P1,candidate,SambaNova Cloud,https://cloud.sambanova.ai/,https://docs.sambanova.ai/docs/en/get-started/overview,free_tier,api_key,free_tier_listed_needs_check,unknown,low,DeepSeek-V3.1,openai_compatible,yes,https://api.sambanova.ai/v1,provider_present_signup_needed,sambanova,12,medium,medium,possible,unknown,unknown,70,350.0,Potentially strong large open models for code review and agent reasoning if,Free allowance unclear; may require quota approval or region availability.,Sign up only after Groq/OpenRouter/Cerebras; verify no credit card,2026-07-05,https://cloud.sambanova.ai/
12,P2,candidate,Mistral AI,https://console.mistral.ai/,https://docs.mistral.ai/models/overview,free_tier,api_key,free_tier_listed_needs_check,unknown,low,devstral-small-latest,openai_compatible,partial,https://api.mistral.ai/v1,provider_present_signup_needed,mistral,15,medium,medium,possible,unknown,unknown,65,260.0,Devstral/Codestral are directly coding-oriented and valuable for repo,Free tier/cost not clear enough; do not prioritize over Groq/OpenRouter,Verify current free developer quota and whether credit card is required before adding.,2026-07-05,https://console.mistral.ai/
13,P1,candidate,AgentRouter,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,agentrouter,15,medium,medium,unknown,unknown,unknown,60,240.0,Potential aggregator/router candidate; may expose multiple free model routes if legitimate.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify official docs/free tier before adding.,2026-07-05,local
14,P2,candidate,BytePlus ModelArk,https://www.byteplus.com/en/product/modelark,https://docs.byteplus.com/en/docs/ModelArk/,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,byteplus,20,medium,medium,unknown,unknown,unknown,55,165.0,ModelArk is a real LLM platform and OmniRoute marks BytePlus as Chat,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify free credits, region restrictions, and smoke test a chat model.,2026-07-05,https://www.byteplus.com/en/product/modelark
15,P2,candidate,Kiro AI,unknown,unknown,subscription_backed,oauth,free_tier_listed_needs_check,unknown,unknown,provider coding models if exposed,unknown,unknown,unknown,free_tier_visible_needs_research,kiro,20,medium,medium,unknown,unknown,unknown,50,150.0,Coding-focused agent/tool; possible value for repo work if free tier is accessible.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify account requirements and non-paid usage.,2026-07-05,local
16,P2,needs_verification,Amazon Q,unknown,unknown,subscription_backed,oauth,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,amazon-q,25,medium,medium,unknown,unknown,unknown,50,120.0,Coding/CLI assistant category may help repo work if free/dev entitlement exists.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify whether this requires AWS Builder ID/subscription and whether OmniRoute,2026-07-05,local
